headcount,eventtype,eventcategory,budget,venuecategory,budgetallocation,venue
191,techtalkspanels,talkspanels,278000,auditorium,"venue:27,speakers:17,food:23,av:12,marketing:13",SLIIT
400,techcareernetworking,careernetworking,1490000,openspace,"venue:32,speakers:22,food:18,av:14,marketing:14",Galadari
99,designcareernetworking,careernetworking,191000,studio,"venue:31,speakers:22,food:18,av:18,marketing:17",AOD
326,codetalkspanels,talkspanels,279000,auditorium,"venue:30,speakers:18,food:20,av:13,marketing:17",NSBM
541,techtalkspanels,talkspanels,608000,auditorium,"venue:29,speakers:17,food:19,av:15,marketing:12",NSBM
365,designcareernetworking,careernetworking,2263000,exhibitionhall,"venue:29,speakers:19,food:21,av:16,marketing:13",Shangri-La
364,codetalkspanels,talkspanels,305000,auditorium,"venue:28,speakers:18,food:20,av:15,marketing:15",NSBM
463,techcompetitionshackathons,competitionshackathons,484000,auditorium,"venue:17,speakers:11,prizes:30,food:20,av:13,marketing:8",NSBM
446,techworkshopstraining,workshopstraining,458000,auditorium,"venue:25,speakers:32,equipment:12,food:9,av:12,marketing:2",NSBM
42,codetalkspanels,talkspanels,54000,coworkingspace,"venue:30,speakers:23,food:20,av:13,marketing:17",Gamers HQ
117,techcompetitionshackathons,competitionshackathons,335000,openspace,"venue:21,speakers:9,prizes:32,food:19,av:14,marketing:2",Colombo Innovation Tower
213,designconferencesexpos,conferencesexpos,686000,openspace,"venue:36,speakers:23,food:7,av:17,marketing:10,logistics:2",Galadari
1783,codemeetupscommunity,meetupscommunity,1077000,openspace,"venue:32,food:25,av:8,marketing:13,logistics:23",Galle Face
60,codecareernetworking,careernetworking,205000,openspace,"venue:33,speakers:20,food:23,av:18,marketing:13",Colombo Innovation Tower
109,techmeetupscommunity,meetupscommunity,16000,auditorium,"venue:30,food:23,av:9,marketing:8,logistics:26",Virtusa
247,techcompetitionshackathons,competitionshackathons,383000,auditorium,"venue:20,speakers:8,prizes:32,food:23,av:17,marketing:8",SLIIT
1391,designmeetupscommunity,meetupscommunity,4076000,exhibitionhall,"venue:27,food:24,av:9,marketing:10,logistics:26",BMICH
65,techmeetupscommunity,meetupscommunity,153000,studio,"venue:32,food:24,av:12,marketing:9,logistics:25",AOD
798,techmeetupscommunity,meetupscommunity,4671000,exhibitionhall,"venue:27,food:22,av:12,marketing:12,logistics:26",Shangri-La
281,techtalkspanels,talkspanels,368000,auditorium,"venue:29,speakers:19,food:19,av:12,marketing:18",NSBM
133,designconferencesexpos,conferencesexpos,202000,auditorium,"venue:35,speakers:24,food:10,av:16,marketing:12,logistics:7",SLIIT
185,aicompetitionshackathons,competitionshackathons,201000,auditorium,"venue:17,speakers:8,prizes:29,food:20,av:18,marketing:6",SLIIT
82,aiconferencesexpos,conferencesexpos,37000,auditorium,"venue:33,speakers:25,food:11,av:13,marketing:13,logistics:3",UCSC
54,techmeetupscommunity,meetupscommunity,151000,openspace,"venue:33,food:27,av:9,marketing:9,logistics:22",Colombo Innovation Tower
353,codecompetitionshackathons,competitionshackathons,482000,auditorium,"venue:23,speakers:13,prizes:30,food:21,av:18,marketing:5",NSBM
302,techcareernetworking,careernetworking,760000,openspace,"venue:32,speakers:21,food:22,av:13,marketing:15",Galadari
96,aiconferencesexpos,conferencesexpos,190000,studio,"venue:33,speakers:25,food:13,av:15,marketing:12,logistics:3",AOD
1109,designmeetupscommunity,meetupscommunity,743000,openspace,"venue:31,food:27,av:9,marketing:9,logistics:24",Galle Face
240,designcareernetworking,careernetworking,78000,auditorium,"venue:32,speakers:21,food:22,av:12,marketing:16",Virtusa
47,techconferencesexpos,conferencesexpos,132000,studio,"venue:33,speakers:27,food:12,av:15,marketing:12,logistics:8",AOD
69,codecompetitionshackathons,competitionshackathons,129000,studio,"venue:21,speakers:8,prizes:30,food:19,av:16,marketing:2",AOD
97,techcareernetworking,careernetworking,189000,coworkingspace,"venue:32,speakers:18,food:20,av:12,marketing:14",Gamers HQ
525,codecompetitionshackathons,competitionshackathons,555000,auditorium,"venue:18,speakers:13,prizes:27,food:20,av:15,marketing:3",NSBM
67,aiconferencesexpos,conferencesexpos,39000,auditorium,"venue:36,speakers:28,food:12,av:12,marketing:9,logistics:7",UCSC
373,techconferencesexpos,conferencesexpos,1086000,openspace,"venue:32,speakers:28,food:13,av:12,marketing:9,logistics:7",Galadari
67,techtalkspanels,talkspanels,170000,studio,"venue:32,speakers:23,food:20,av:18,marketing:15",AOD
100,designcompetitionshackathons,competitionshackathons,17000,auditorium,"venue:23,speakers:12,prizes:28,food:20,av:16,marketing:8",Virtusa
100,techworkshopstraining,workshopstraining,160000,studio,"venue:27,speakers:32,equipment:17,food:10,av:15,marketing:4",AOD
496,aimeetupscommunity,meetupscommunity,2550000,exhibitionhall,"venue:33,food:23,av:10,marketing:7,logistics:27",Shangri-La
232,techtalkspanels,talkspanels,786000,openspace,"venue:29,speakers:19,food:21,av:18,marketing:12",Galadari
314,codetalkspanels,talkspanels,376000,auditorium,"venue:33,speakers:18,food:17,av:18,marketing:14",SLIIT
70,designcareernetworking,careernetworking,221000,openspace,"venue:28,speakers:21,food:23,av:17,marketing:15",Colombo Innovation Tower
171,aiconferencesexpos,conferencesexpos,26000,auditorium,"venue:33,speakers:23,food:13,av:15,marketing:11,logistics:8",Virtusa
191,techcareernetworking,careernetworking,384000,coworkingspace,"venue:31,speakers:22,food:21,av:17,marketing:15",Hatch
718,codemeetupscommunity,meetupscommunity,1170000,exhibitionhall,"venue:32,food:25,av:9,marketing:9,logistics:26",BMICH
151,designcompetitionshackathons,competitionshackathons,48000,auditorium,"venue:18,speakers:11,prizes:29,food:23,av:17,marketing:3",UCSC
223,techtalkspanels,talkspanels,257000,auditorium,"venue:32,speakers:22,food:23,av:17,marketing:12",NSBM
167,designworkshopstraining,workshopstraining,236000,coworkingspace,"venue:23,speakers:28,equipment:14,food:10,av:14,marketing:3",Trace Expert City
494,designmeetupscommunity,meetupscommunity,1685000,openspace,"venue:31,food:26,av:12,marketing:8,logistics:24",Galadari
197,techtalkspanels,talkspanels,128000,auditorium,"venue:28,speakers:19,food:18,av:17,marketing:15",UCSC
176,designworkshopstraining,workshopstraining,336000,coworkingspace,"venue:28,speakers:33,equipment:16,food:13,av:17,marketing:2",Trace Expert City
100,techmeetupscommunity,meetupscommunity,395000,openspace,"venue:33,food:24,av:9,marketing:10,logistics:25",Colombo Innovation Tower
1061,codeconferencesexpos,conferencesexpos,1056000,openspace,"venue:33,speakers:25,food:10,av:18,marketing:8,logistics:4",Galle Face
110,codecareernetworking,careernetworking,242000,coworkingspace,"venue:33,speakers:17,food:18,av:15,marketing:16",Trace Expert City
96,aiworkshopstraining,workshopstraining,190000,coworkingspace,"venue:26,speakers:30,equipment:15,food:7,av:14,marketing:4",Gamers HQ
150,aicompetitionshackathons,competitionshackathons,428000,coworkingspace,"venue:23,speakers:12,prizes:31,food:22,av:15,marketing:6",Hatch
305,aitalkspanels,talkspanels,1458000,exhibitionhall,"venue:31,speakers:19,food:22,av:18,marketing:13",Shangri-La
106,designtalkspanels,talkspanels,141000,coworkingspace,"venue:31,speakers:18,food:19,av:13,marketing:13",Trace Expert City
315,techcareernetworking,careernetworking,1044000,openspace,"venue:28,speakers:20,food:23,av:12,marketing:17",Galadari
